State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Disorder Past Year.18-25,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.18-25,Rates.Alcohol.Use Disorder Past Year.26+,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.18-25,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Rates.Alcohol.Use Past Month.18-25,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.18-25,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.18-25,Rates.Illicit Drugs.Cocaine Used Past Year.26+,Totals.Marijuana.New Users.12-17,Totals.Marijuana.New Users.18-25,Totals.Marijuana.New Users.26+,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Totals.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Month.18-25,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.18-25,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.12-17,Totals.Marijuana.Used Past Year.18-25,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.18-25,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+
Michigan,2004,907902,1111809,6354775,51,210,399,55.67,188.878,62.844,155,737,3645,170.88600000000002,663.014,573.5590000000001,111,503,1742,122.424,452.422,274.047,14,77,107,15.461,69.657,16.898,49,38,7,62.168,75.685,2.024,68,207,287,74.94000000000001,185.745,45.143,131,360,511,144.362,324.08,80.416,127,555,2052,139.493,499.302,322.954
Nevada,2004,201110,239773,1493077,13,47,102,62.274,196.778,68.648,33,137,761,165.56199999999998,573.268,509.487,21,93,399,106.378,387.764,267.471,3,16,18,16.092,64.839,12.163,11,5,2,63.25600000000001,45.819,1.961,14,39,65,69.756,160.589,43.769000000000005,30,66,106,147.089,275.72200000000004,70.998,26,105,465,128.159,436.766,311.196
New York,2004,1584677,2050011,12371557,85,348,671,53.77,169.526,54.2,297,1298,7037,187.494,632.971,568.822,170,810,2946,107.096,395.321,238.09,24,151,223,15.406,73.502,18.057,79,66,13,57.342,65.307,1.782,133,428,601,83.994,209.001,48.544,232,663,1022,146.465,323.397,82.578,202,882,3342,127.407,430.356,270.107
Pennsylvania,2004,1035623,1322980,8059411,58,252,478,56.476,190.262,59.258,173,858,4477,166.85,648.453,555.515,135,572,2095,130.823,432.545,259.891,16,101,139,15.182,76.417,17.259,55,42,8,61.002,65.775,1.6949999999999998,71,238,326,68.805,180.233,40.446000000000005,146,409,586,141.05599999999998,309.331,72.674,160,646,2509,154.46099999999998,488.356,311.264
Texas,2004,2052845,2628020,13267576,108,428,851,52.479,162.77700000000002,64.124,347,1515,6864,169.129,576.487,517.347,203,972,3333,98.864,369.991,251.21500000000003,49,175,206,24.081000000000003,66.691,15.501,88,75,16,49.183,51.063,1.673,118,334,381,57.63999999999999,127.259,28.75,250,585,700,121.975,222.714,52.771,243,1108,3992,118.151,421.485,300.891
Alabama,2005,384026,504331,2899055,19,66,160,49.386,130.609,55.082,61,269,1274,159.487,534.311,439.526,45,196,803,117.626,387.718,276.982,5,31,48,14.212000000000002,61.882,16.429,17,15,3,48.558,49.161,1.364,24,62,94,61.922,122.741,32.476,42,108,152,110.363,214.238,52.344,58,232,983,151.477,460.172,339.205
California,2005,3293484,4085207,22046720,182,710,1539,55.341,173.875,69.786,487,2375,11972,147.934,581.314,543.0310000000001,258,1251,4341,78.32600000000001,306.295,196.887,55,270,328,16.548000000000002,66.146,14.878,155,114,20,54.006,52.719,1.595,217,695,1054,65.814,170.162,47.801,436,1161,1736,132.47400000000002,284.125,78.748,313,1402,4944,94.911,343.297,224.262
Florida,2005,1405376,1765323,11819668,73,295,756,51.716,167.073,63.969,234,1035,6727,166.459,586.429,569.1270000000001,135,622,2801,96.332,352.36400000000003,236.984,24,141,234,16.935,79.904,19.803,71,54,9,57.347,58.614,1.331,98,315,437,70.002,178.459,36.970000000000006,192,521,743,136.838,295.189,62.823,162,728,3324,115.192,412.222,281.261
Hawaii,2005,101214,124633,806534,5,22,48,46.963,172.613,59.25,13,72,397,131.509,581.3040000000001,492.715,7,42,154,72.187,336.49800000000005,191.16,1,6,11,14.105,52.03,13.387,4,4,1,58.992,72.015,2.442,7,20,31,69.585,158.113,38.415,14,36,56,142.366,285.892,69.99,9,46,174,91.451,365.932,215.681
Michigan,2005,901407,1105696,6379828,47,227,423,52.68,205.36,66.302,148,758,3806,164.244,685.7879999999999,596.6360000000001,102,495,1748,113.298,448.133,273.988,14,73,94,15.084,66.401,14.791,46,38,7,58.249,76.197,2.016,65,188,286,72.662,170.458,44.78,124,359,516,137.849,325.072,80.84700000000001,121,552,2058,134.076,499.24,322.647
