State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Disorder Past Year.18-25,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.18-25,Rates.Alcohol.Use Disorder Past Year.26+,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.18-25,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Rates.Alcohol.Use Past Month.18-25,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.18-25,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.18-25,Rates.Illicit Drugs.Cocaine Used Past Year.26+,Totals.Marijuana.New Users.12-17,Totals.Marijuana.New Users.18-25,Totals.Marijuana.New Users.26+,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Totals.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Month.18-25,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.18-25,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.12-17,Totals.Marijuana.Used Past Year.18-25,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.18-25,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+
New York,2014,1427531,2228431,13092078,36,258,779,25.103,115.859,59.538,179,1371,7594,125.722,615.091,580.0509999999999,59,562,2653,41.316,252.388,202.646,10,140,274,7.31,62.86899999999999,20.957,69,100,26,54.306,86.267,3.554,108,506,987,75.509,226.869,75.42500000000001,188,801,1530,131.68099999999998,359.475,116.849,81,657,3142,57.048,294.664,240.011
Pennsylvania,2014,934275,1364517,8539968,24,181,494,25.3,132.57399999999998,57.897,106,873,5152,113.41,639.467,603.244,47,404,1885,50.283,295.759,220.681,5,64,106,5.404,47.132,12.426,39,52,13,47.398,76.534,2.922,65,259,514,69.78399999999999,189.689,60.152,111,442,786,118.815,323.582,92.071,68,512,2296,72.357,375.396,268.878
Texas,2014,2361420,3057833,16501892,70,327,907,29.765,107.004,54.974,235,1678,8587,99.607,548.639,520.341,92,805,3298,39.07299999999999,263.356,199.852,16,128,166,6.964,41.853,10.045,105,106,23,48.689,60.787,2.343,162,461,713,68.57900000000001,150.786,43.228,276,771,1166,116.954,252.1,70.655,136,952,3982,57.387,311.44,241.336
Alabama,2015,378330,522750,3159474,6,47,115,16.727,90.798,36.442,31,265,1361,80.751,507.567,430.638,18,144,758,48.292,275.115,239.802,1,15,32,3.3,29.587,10.232,15,21,5,41.864,63.9,2.691,20,74,119,52.037,142.50199999999998,37.664,38,135,212,101.072,258.983,67.18499999999999,29,190,951,76.49300000000001,362.56500000000005,300.86800000000005
California,2015,3039214,4399955,25184187,71,468,1549,23.255000000000003,106.419,61.505,276,2380,13570,90.773,541.022,538.836,81,850,3736,26.552,193.156,148.353,23,315,452,7.547,71.623,17.955,150,169,66,56.758,75.71600000000001,4.816,223,1016,2190,73.327,230.919,86.964,402,1495,3399,132.326,339.802,134.972,119,1017,4405,39.101,231.028,174.89499999999998
Florida,2015,1405801,1971645,14028654,31,196,753,22.035,99.447,53.644,129,1134,8038,91.488,574.96,572.9929999999999,41,401,2450,29.252,203.587,174.62,6,105,171,4.496,53.479,12.199,70,75,26,56.223,73.131,3.244,99,391,842,70.306,198.152,59.998000000000005,179,664,1432,127.166,336.56,102.102,62,520,3000,44.438,263.748,213.868
Hawaii,2015,96573,135482,926174,2,13,42,23.464,98.573,45.822,9,70,430,90.966,520.089,464.351,3,31,138,29.758,228.622,149.166,1,7,15,8.392999999999999,50.052,16.509,5,5,2,65.60100000000001,82.496,4.168,6,25,63,66.348,186.575,68.14399999999999,13,38,100,133.825,280.663,108.189,4,35,173,40.449,257.261,187.164
Michigan,2015,779507,1108537,6511669,18,120,345,23.609,108.278,52.972,81,660,3731,103.931,595.823,572.954,36,298,1522,45.768,268.63,233.721,3,42,76,4.431,37.941,11.663,39,44,16,57.411,80.594,5.401999999999999,62,245,579,79.789,220.69,88.931,112,384,821,143.63500000000002,346.023,126.12,52,377,1820,66.348,340.038,279.572
Nevada,2015,224147,287409,1916967,6,32,92,25.913,110.411,47.927,28,153,1056,122.761,532.525,550.841,8,66,406,34.29,230.253,211.724,1,14,29,6.602,48.217000000000006,15.316,12,10,6,68.258,76.561,5.765000000000001,19,52,129,86.497,182.526,67.065,33,84,202,146.55599999999998,293.892,105.142,12,82,476,55.065000000000005,285.572,248.1
New York,2015,1416226,2197628,13150285,31,245,741,22.125,111.563,56.362,161,1376,7626,113.717,625.993,579.902,44,488,2498,31.402,222.225,189.993,6,127,265,4.522,57.67400000000001,20.146,72,96,30,55.818,85.37599999999999,4.22,103,514,1006,72.787,233.827,76.521,175,812,1503,123.717,369.638,114.325,69,621,3005,48.913,282.597,228.478
Pennsylvania,2015,928154,1344620,8572327,20,161,428,21.155,119.946,49.98,93,837,5119,100.211,622.691,597.1800000000001,36,377,1915,39.05200000000001,280.567,223.376,5,70,127,5.622,52.175,14.82,39,53,15,45.645,80.75200000000001,3.4650000000000003,58,270,562,62.452,200.435,65.54,101,436,877,109.291,324.461,102.352,59,486,2378,63.557,361.733,277.441
Texas,2015,2395358,3083498,16842117,57,299,783,23.792,96.886,46.499,212,1624,8687,88.62100000000001,526.6370000000001,515.772,70,736,3347,29.023,238.648,198.71,14,145,157,5.732,46.9,9.331,99,100,18,45.24,54.999,1.791,142,450,729,59.352,145.847,43.26,251,784,1229,104.694,254.22,72.96900000000001,106,890,4162,44.247,288.599,247.093
Alabama,2016,375632,515697,3179298,6,41,137,15.429,79.276,43.044,33,259,1417,88.801,501.778,445.571,18,132,805,47.966,255.984,253.226,1,20,45,3.588,38.351000000000006,14.149,14,20,7,39.066,62.964000000000006,3.49,20,85,155,52.579,164.75799999999998,48.639,36,136,257,96.71,263.513,80.80900000000001,30,182,1014,78.957,352.822,319.087
California,2016,3033914,4323156,25492189,61,428,1322,20.063,98.982,51.848,272,2320,13984,89.52300000000001,536.5790000000001,548.548,63,737,3584,20.833,170.41600000000005,140.573,21,345,523,6.855,79.883,20.518,150,187,64,56.014,84.32000000000001,4.479,210,1041,2473,69.323,240.683,96.997,404,1579,3730,133.039,365.263,146.333,105,889,4339,34.507000000000005,205.616,170.224
Florida,2016,1415667,1960092,14351670,29,195,713,20.254,99.537,49.674,140,1106,7936,98.615,564.294,552.971,39,374,2543,27.595,190.764,177.171,6,122,218,4.482,62.195,15.185,72,77,30,56.973000000000006,77.283,3.723,106,439,988,74.767,223.871,68.81099999999999,191,701,1534,134.627,357.712,106.861,65,500,3066,46.207,255.068,213.607
Hawaii,2016,95796,128416,934643,2,14,44,21.465,112.616,47.192,8,71,444,81.292,551.336,475.36,3,29,126,26.269,229.506,134.535,1,7,14,5.845000000000001,52.206,15.468,4,5,2,58.722,88.72099999999999,4.356,6,22,66,65.43599999999999,174.46,70.58200000000001,11,35,106,114.307,271.371,113.868,3,32,163,34.122,251.449,174.02200000000002
Michigan,2016,770605,1100969,6555498,14,106,342,18.125,96.405,52.227,83,648,3750,107.627,588.989,572.114,28,259,1536,36.839,235.582,234.235,3,52,87,4.422,47.484,13.339,41,48,17,60.212,89.07,5.827999999999999,60,267,652,77.254,242.372,99.481,109,418,879,141.523,380.049,134.076,43,334,1830,55.181,303.19800000000004,279.129
Nevada,2016,226449,285045,1964559,5,33,101,23.309,117.469,51.619,22,142,1030,96.311,499.426,524.5079999999999,6,64,414,27.828,223.316,210.573,1,17,40,6.214,58.313,20.195,11,11,6,63.053,85.223,5.484,20,74,199,88.19,258.64300000000003,101.089,33,102,282,143.66899999999998,358.075,143.383,10,79,508,46.11,277.482,258.422
New York,2016,1403019,2156021,13244748,25,211,716,17.893,98.013,54.09,138,1338,7720,98.545,620.698,582.889,34,416,2265,24.084,193.038,171.037,6,125,283,4.437,57.929,21.336,68,90,34,52.102,81.576,5.074000000000001,95,503,994,67.491,233.469,75.015,167,778,1491,118.789,361.048,112.601,52,562,2685,37.245,260.877,202.738
Pennsylvania,2016,922209,1328664,8602887,14,137,389,15.036,103.175,45.17,93,801,5230,100.557,603.0450000000001,607.9,34,336,1859,37.132,253.171,216.137,5,74,136,5.356,55.66,15.83,37,52,17,43.926,79.863,4.122,52,284,557,55.948,213.785,64.77,96,448,890,103.612,337.375,103.407,54,460,2360,58.801,346.019,274.329
Texas,2016,2431437,3086931,17182224,39,280,722,15.954,90.615,42.0,213,1594,8891,87.706,516.495,517.437,59,691,3414,24.064,223.763,198.691,11,136,186,4.553,44.218,10.835,95,103,29,42.052,55.631,2.673,118,452,788,48.551,146.267,45.855,234,808,1354,96.091,261.883,78.826,91,841,4189,37.473,272.409,243.776
Alabama,2017,373065,510012,3201636,6,40,145,15.82,79.102,45.332,35,250,1528,92.51,490.145,477.141,18,131,838,49.056,255.973,261.776,1,23,45,3.843,44.875,14.012,14,19,7,40.615,60.559000000000005,3.657,23,95,221,61.763,186.689,69.101,38,138,338,102.404,270.892,105.488,27,172,1017,73.40299999999999,337.879,317.542
California,2017,3026428,4250955,25769686,56,437,1455,18.454,102.822,56.456,252,2346,14513,83.305,551.764,563.1709999999999,47,617,3326,15.428,145.171,129.055,15,326,585,5.08,76.794,22.708,169,204,96,64.03200000000001,95.863,6.785,213,1065,2676,70.53,250.649,103.852,418,1668,4005,138.2,392.286,155.40300000000002,83,797,4116,27.279,187.553,159.735
Florida,2017,1431798,1961154,14656396,22,162,632,15.468,82.841,43.09,145,1028,7984,101.228,524.1940000000001,544.755,41,331,2576,28.459000000000003,168.73,175.77100000000002,7,119,235,4.812,60.846,16.029999999999998,72,82,29,55.116,77.523,3.844,101,449,1124,70.55699999999999,228.752,76.706,186,678,1722,130.08,345.845,117.498,65,463,3105,45.535,236.072,211.844
Hawaii,2017,95447,123940,938835,2,14,45,21.916,116.01,47.406,7,69,471,71.757,555.282,501.942,2,25,125,21.805,197.69,133.217,0,7,16,3.531,60.241,17.503999999999998,4,5,1,60.931,77.11,5.072,5,21,76,53.126,167.02700000000002,80.93599999999999,11,35,120,112.0,282.76800000000003,127.311,3,28,156,27.611,222.497,166.534
Michigan,2017,762352,1091893,6612857,12,105,332,15.706,95.999,50.273,78,653,3801,102.118,598.169,574.8480000000001,23,229,1400,30.166,209.337,211.757,3,66,95,4.561,60.187,14.356,43,57,24,64.344,104.446,7.316999999999999,60,300,708,78.658,274.975,107.024,105,447,1011,137.833,409.181,152.82299999999998,38,314,1705,50.027,287.387,257.87
Nevada,2017,229143,283377,2008499,4,29,105,17.984,102.827,52.526,18,148,1075,80.631,521.0360000000001,535.177,6,62,436,27.882,219.502,217.107,1,17,39,5.42,58.401,19.576,11,14,10,58.347,116.761,9.226,21,91,267,91.651,320.867,133.124,33,121,397,142.657,425.479,197.878,10,80,537,42.16,280.558,267.169
New York,2017,1375507,2093893,13260774,20,188,680,14.643,89.66499999999999,51.276,127,1237,7455,92.295,590.894,562.209,29,379,2042,21.294,180.957,153.994,5,144,290,3.946,68.801,21.833,66,88,35,52.363,83.63,4.938,91,507,1035,66.19500000000001,242.221,78.08,172,795,1589,124.914,379.857,119.79,49,525,2432,35.3,250.641,183.365
Pennsylvania,2017,916014,1313052,8642237,15,146,398,16.268,111.349,45.996,85,781,5189,93.146,594.778,600.3929999999999,29,299,1770,31.708,227.856,204.847,5,87,139,5.312,65.999,16.128,42,50,13,49.834,77.352,3.782,49,259,603,53.09,197.126,69.782,101,455,986,110.259,346.537,114.066,45,416,2228,48.861,316.65500000000003,257.813
Texas,2017,2463690,3098890,17545587,32,257,734,13.058,83.001,41.81,202,1557,8941,81.976,502.471,509.575,55,609,3309,22.437,196.581,188.605,11,124,194,4.422,39.89,11.039,102,119,44,43.725,62.186,3.624,119,455,829,48.153,146.741,47.236,244,817,1498,99.043,263.59,85.405,85,773,4059,34.309,249.371,231.352
